index,y_pred
7007,0.49272057
9793,0.5549087
6593,0.50780827
10527,0.28829768
6914,0.43889168
7503,0.5231567
3861,0.46265048
7173,0.5497993
10721,0.52351403
2448,0.99949086
9469,0.61124474
9041,0.3454268
7452,0.59156543
9627,0.58517444
5480,0.34903446
3631,0.45827326
8045,0.5579305
1305,0.9994147
10002,0.47006127
10943,0.42080668
10655,0.4030499
1931,0.9993954
9266,0.32214642
6175,0.60033107
7880,0.44439062
6084,0.35460997
193,0.96808875
3095,0.99965703
7505,0.58913404
4156,0.55174524
8168,0.49280283
1275,0.9995123
7741,0.3641076
7706,0.55262095
9995,0.17367204
10277,0.39352357
9892,0.48104897
10525,0.47325027
1049,0.9994203
3099,0.9991768
6261,0.47232413
9641,0.4835504
7395,0.35892847
6488,0.37683553
7123,0.3717291
4299,0.5250186
5767,0.5492253
1006,0.9994948
2553,0.9612972
855,0.9994344
8977,0.60132235
5633,0.30127543
9331,0.40195116
4934,0.39119926
1409,0.99965453
8596,0.43411258
5971,0.4353938
7485,0.40835583
6881,0.7945657
5459,0.52594316
9387,0.696357
2015,0.9996145
10053,0.10161495
438,0.99969447
518,0.9993905
2683,0.999468
7701,0.37678397
5395,0.4926881
2960,0.99961
9322,0.43715194
9911,0.5148189
3547,0.43556485
7959,0.39748913
3315,0.47980613
10221,0.342639
1482,0.99935836
2754,0.898935
1807,0.9995654
1554,0.9377234
10427,0.30092192
9893,0.2389246
4401,0.437983
6153,0.5142146
5638,0.26022714
5818,0.47501913
9736,0.8328246
9398,0.40535972
447,0.99864167
10678,0.44591805
6438,0.34290645
1866,0.9995484
9270,0.45111093
10288,0.4051552
7309,0.4799679
5313,0.41552567
5252,0.27079806
5749,0.51352525
2217,0.9994936
5807,0.39742082
2535,0.9253743
10344,0.49812663
2569,0.96660423
8743,0.40103474
8144,0.22967775
1533,0.99884415
5554,0.5255043
9364,0.37031898
6923,0.23212299
10658,0.6006115
2543,0.9996227
1989,0.9992797
1538,0.93213344
9299,0.24134146
6550,0.45227286
1959,0.9993113
7117,0.42456514
3722,0.38281983
10256,0.5334465
4225,0.24510257
3016,0.9881213
1366,0.9394152
4603,0.45613587
6382,0.30601552
4173,0.4470693
1077,0.97510725
992,0.9995121
6899,0.4377349
95,0.9994942
289,0.9991365
4840,0.3018402
10577,0.42752707
5556,0.3989719
10149,0.45388755
5308,0.4748864
7305,0.5587659
1069,0.9996327
1032,0.9991722
6023,0.26255175
7798,0.40535095
6479,0.4095035
2134,0.99963963
5148,0.3133791
9725,0.22171593
3341,0.47476506
10533,0.88229644
4969,0.35006887
9534,0.47540146
8447,0.32459155
10646,0.20064953
7837,0.36038968
8373,0.5176976
8708,0.45380235
5715,0.4301695
4941,0.23715082
3760,0.42706448
8682,0.264729
10435,0.59375894
3110,0.99949336
5882,0.51566917
2145,0.9996123
8890,0.25516802
9122,0.38582927
9550,0.19566149
5562,0.37376258
2542,0.92705804
8693,0.47809428
8149,0.46973193
4794,0.36622596
3075,0.9994319
1895,0.9994875
7182,0.43079707
2350,0.99963605
2838,0.99942565
9926,0.42291117
6519,0.5444052
9097,0.34816784
9247,0.33047834
3203,0.2317078
7149,0.48719436
5875,0.29672652
6962,0.42708918
7520,0.75150824
8487,0.42542282
7864,0.28851965
2400,0.92454964
9143,0.36570296
10672,0.2810935
2320,0.99909234
9676,0.5830376
9623,0.52704674
7094,0.27330709
2966,0.99889636
6160,0.77398735
5244,0.5842679
1076,0.99945515
5035,0.7647252
4115,0.5056471
8082,0.34411696
6709,0.2843063
8030,0.37552318
10340,0.34309393
8617,0.43845588
7328,0.2217095
10810,0.4726194
3169,0.5271005
465,0.9995623
9697,0.48809707
4631,0.34824717
7981,0.40419102
5147,0.34636572
10771,0.58320165
4245,0.46428642
1443,0.9987582
431,0.9994752
1100,0.9992848
8660,0.35471055
5972,0.28926548
5621,0.49424163
9433,0.4265104
1976,0.9994204
9665,0.9467551
6823,0.4755238
9291,0.41448608
9396,0.45075867
368,0.9110535
4733,0.54607695
3471,0.52052426
7079,0.44699565
2781,0.99946064
557,0.95814604
427,0.99944717
10409,0.4088362
1627,0.9995395
8188,0.26574662
8639,0.7024627
2788,0.9995245
6283,0.50558597
3645,0.41664273
2906,0.9996623
5848,0.4626611
920,0.99908316
6389,0.56112885
7488,0.57003075
7124,0.22583824
2777,0.9993467
1245,0.99964976
2970,0.99917597
1631,0.9995227
791,0.9994703
6143,0.33344197
7108,0.42954022
1835,0.99932396
802,0.95449686
6489,0.41333944
5214,0.22108656
10622,0.22838962
10161,0.43620864
6691,0.15591672
4417,0.40828848
825,0.9996617
10919,0.52238935
7969,0.4497753
6562,0.2874557
8054,0.24013276
8778,0.33295202
1584,0.9994486
3216,0.35154727
9138,0.5750658
10105,0.5319224
